field_id,crop,actual_et,actual_eto,actual_etof
CA_35235,241,3.7329914040114613,4.231547277936962,0.8568739255014326
CA_35772,36,3.001077363896848,4.325085959885387,0.6608538681948424
CA_35824,61,3.3082578796561606,4.256813753581661,0.7953123209169055
CA_35987,69,2.8737908309455586,4.191676217765043,0.700862464183381
CA_36095,61,3.158464183381089,4.191676217765043,0.7532521489971347
CA_36112,47,2.684756446991404,4.202733524355301,0.6644040114613181
CA_36121,47,3.6312435530085962,4.202283667621776,0.851512893982808
CA_36281,61,2.8073724928366763,4.280759312320916,0.6576361031518625
CA_36850,61,2.5447736389684814,4.22274212034384,0.6481948424068767
CA_36898,37,2.9752320916905446,4.195412607449857,0.6970687679083094
CA_36905,61,2.6265816618911177,4.195412607449857,0.6686704871060173
CA_36982,241,2.705025787965616,4.22274212034384,0.6690916905444126
CA_37400,61,2.3326962750716334,4.42760458452722,0.5487679083094557
CA_37674,47,1.7381977077363897,4.067928366762178,0.5291002865329513
CA_37683,61,2.0960429799426934,4.494406876790831,0.4493123209169054
CA_37706,47,2.676538681948424,4.028212034383954,0.6137449856733525
CA_37890,241,3.5304326647564475,4.137054441260745,0.846650429799427
CA_38650,47,1.2992063037249284,4.313446991404011,0.4326876790830946
CA_38734,204,2.403432664756447,4.216853868194843,0.633515759312321
CA_38796,61,3.3769971346704875,4.45478223495702,0.7532292263610315
CA_38912,69,2.724114613180516,4.058971346704871,0.6145472779369627
CA_39031,69,1.6765501432664756,4.013484240687679,0.5307650429799426
CA_39032,69,2.3296618911174787,4.067928366762178,0.6386303724928367
CA_39152,69,3.1112492836676218,4.294724928366762,0.7296991404011461
CA_39204,69,4.204338108882522,4.499816618911175,0.92589111747851
CA_39252,69,3.6424985673352435,4.331968481375358,0.8509856733524356
CA_39770,69,3.045143266475645,4.611876790830946,0.6956045845272206
CA_39890,69,2.996736389684814,4.623335243553009,0.672839541547278
CA_40009,69,3.302103151862464,4.363610315186246,0.7807621776504298
CA_40963,69,2.5675243553008595,4.229206303724928,0.6258481375358166
CA_41027,69,3.386186246418338,4.290421203438395,0.7730286532951289
CA_41244,69,2.8691260744985674,4.2534555873925495,0.7103868194842408
CA_41458,69,2.8796934097421203,4.284865329512893,0.7166676217765042
CA_41671,69,2.9138510028653295,4.346111747851003,0.7278252148997134
CA_41682,69,1.5391203438395415,4.405862464183381,0.4611547277936963
