field_id,mae,rmse,corr,bias,skill_score
CA_183828,7.833333333333333,12.069244660154448,0.9719777960172614,1.5,0.942582474734756
CA_184177,3.0833333333333335,5.634713834792322,0.9960583392080656,3.0833333333333335,0.9886826080499035
CA_18461,7.416666666666667,11.390785749894517,0.7937839437053634,6.916666666666667,0.39030837004405283
CA_18496,3.75,6.264982043070834,0.88084423738257,1.75,0.7606301880399796
CA_185399,4.416666666666667,8.210765291169068,0.9648748821556257,1.5833333333333333,0.9239596143151431
CA_186283,4.75,7.566372975210778,0.9907081746084965,3.0833333333333335,0.9777374509867461
CA_186870,5.666666666666667,8.897565210026093,0.961357545315865,3.1666666666666665,0.9129425420777714
CA_186949,4.583333333333333,7.477744758058185,0.981547869989151,-3.0833333333333335,0.9163975787276899
CA_187438,8.333333333333334,13.30413469565007,0.9473599497182555,5.5,0.8640023477309714
CA_188163,4.083333333333333,7.205322107072429,0.9949966969533218,-3.5833333333333335,0.984259329442381
CA_188282,3.0833333333333335,5.439056290693573,0.9958701532822264,-0.9166666666666666,0.9914207689891007
CA_189979,11.083333333333334,19.259196937221102,0.9279315226170063,11.083333333333334,0.8052256358829428
CA_192791,9.75,16.99754884289693,0.9472822729946424,3.5833333333333335,0.8909027974448535
CA_192944,16.333333333333332,29.816103031751148,0.8525839638197211,16.333333333333332,0.6506189821182943
CA_194654,30.5,57.677262995626506,0.5765813758277634,28.0,0.2711992563506106
CA_195055,10.416666666666666,16.04940289647354,0.9846179786489399,9.75,0.9413532764658914
CA_195552,5.833333333333333,9.966610925150702,0.9940344567135815,2.1666666666666665,0.9815876056163981
CA_196039,5.5,10.198039027185569,0.9935282616606399,4.666666666666667,0.9818012132524498
CA_196217,42.666666666666664,74.5072703387618,0.5614248123727948,-41.5,-0.05992606696402536
CA_196350,37.583333333333336,71.58619513099808,0.5485349581995793,37.583333333333336,0.18837857189207874
CA_197206,8.833333333333334,20.153577019146418,0.9386628555880312,-7.0,0.864647455775764
CA_197548,5.5,11.561430130683084,0.9053815912255636,4.0,0.7876902713434811
CA_197684,4.916666666666667,9.013878188659973,0.9794797989447822,-1.5833333333333333,0.9427920417373616
CA_198018,4.166666666666667,6.819090848492928,0.9943026529888137,-2.1666666666666665,0.9849182395603405
CA_198392,7.083333333333333,11.658330355015107,0.9774008486529169,5.916666666666667,0.939175267343533
CA_199389,2.4166666666666665,4.010403138505321,0.9888569767415109,-1.5833333333333333,0.973773610544911
CA_199621,3.8333333333333335,7.314369419163897,0.9917329236337729,2.5,0.9788634436893497
CA_199886,3.5,5.8594652770823155,0.9968526623620334,1.8333333333333333,0.9919306268943197
CA_199904,5.5,8.95358401237553,0.9925161600809107,-1.6666666666666667,0.9844503263087709
CA_20111,3.3333333333333335,5.5677643628300215,0.9719424666864322,-1.1666666666666667,0.9315326922192059
CA_201209,5.416666666666667,8.411301920630361,0.9939342812071218,0.5833333333333334,0.982773925526141
CA_202362,12.833333333333334,22.700954458641895,0.6008277427157517,8.5,0.18777636705923528
CA_203481,2.9166666666666665,4.8218253804964775,0.9969218074867653,0.5833333333333334,0.9924007363205309
CA_203822,6.833333333333333,12.288205727444508,0.963286860612931,3.3333333333333335,0.9225494840550389
CA_203945,9.5,16.345233759927286,0.9188834604072199,-4.666666666666667,0.34544712127398935
CA_204345,4.25,7.477744758058185,0.9824782769027871,0.75,0.9645192561910637
CA_204773,7.75,14.818344486930156,0.9494396661822905,7.75,0.8657079636621549
CA_205074,4.083333333333333,6.525590650150631,0.9950630688460668,-1.75,0.9893483230383335
CA_205669,4.333333333333333,8.366600265340756,0.977488275127246,-2.6666666666666665,0.933237958989032
CA_206014,11.75,24.97832393629858,0.879444958654766,9.75,0.7352678584582927
CA_206280,4.5,8.897565210026093,0.9471511622830364,1.5,0.8939929328621908
CA_206394,37.083333333333336,70.68415664065039,0.3671805262341938,37.083333333333336,0.03709949409780755
CA_207283,3.5,6.60807586719967,0.9963270733420351,-1.6666666666666667,0.9883757043347088
CA_207336,10.166666666666666,17.09775813764288,0.9816815383728172,6.833333333333333,0.9241632392760054
CA_209424,4.75,6.849574196011505,0.9953692463170133,1.5833333333333333,0.990164392655614
