field_id,crop,mae,rmse,corr,bias,skill_score
CA_80450,47,20.33,33.8,0.92,-19.5,0.79
CA_81102,176,25.5,36.32,0.91,-0.83,0.82
CA_81739,61,7.0,8.73,0.46,-1.17,-0.28
CA_81905,47,24.42,41.56,0.59,-19.08,-0.06
CA_81937,61,13.92,19.14,0.94,-5.25,0.87
CA_86773,69,8.92,13.99,0.53,-0.58,0.21
CA_87308,69,8.33,11.03,0.88,-1.0,0.77
CA_88706,176,7.08,9.64,0.97,-2.25,0.9
CA_89335,61,12.42,16.72,0.77,4.08,0.57
CA_89459,61,9.83,11.99,0.94,-6.5,0.79
CA_89481,176,6.17,7.99,0.97,0.0,0.94
CA_90023,47,8.17,12.33,0.8,2.0,0.64
CA_90393,176,10.92,14.3,0.91,5.42,0.8
CA_90562,47,9.83,12.94,0.96,-1.0,0.9
CA_90738,47,16.25,22.96,0.89,13.75,0.7
CA_91730,72,3.83,4.6,0.99,-2.0,0.96
CA_92436,47,45.0,82.45,0.6,-36.0,0.17
CA_92455,61,11.75,19.86,0.45,10.58,0.0
CA_92493,61,16.25,26.22,-0.18,15.42,-0.37
CA_92898,215,7.17,9.75,0.97,2.33,0.92
CA_94012,47,6.92,9.37,0.94,-3.42,0.84
CA_94118,47,32.42,55.45,0.37,25.92,-0.08
CA_96321,47,5.25,8.02,0.97,-4.25,0.92
CA_97508,72,10.42,14.89,0.73,9.92,0.38
CA_97925,72,3.58,5.3,0.98,1.08,0.96
CA_9796,47,4.25,5.62,0.99,2.75,0.96
CA_98479,47,5.17,7.45,0.96,-1.17,0.92
CA_98963,82,7.75,12.11,0.96,-3.08,0.88
CA_99201,61,7.92,11.36,0.97,1.75,0.92
CA_99220,47,13.58,17.76,0.92,10.75,0.71
CA_99657,47,3.08,4.17,0.97,-1.75,0.93
