crop,cdl_code,kcp,reference
,97,-9999,
,98,-9999,
,99,-9999,
,100,-9999,
,101,-9999,
,102,-9999,
,103,-9999,
,104,-9999,
,105,-9999,
,106,-9999,
,107,-9999,
,108,-9999,
,109,-9999,
,110,-9999,
,113,-9999,
,114,-9999,
,115,-9999,
,116,-9999,
,117,-9999,
,118,-9999,
,119,-9999,
,120,-9999,
,125,-9999,
,126,-9999,
,127,-9999,
,128,-9999,
,129,-9999,
,130,-9999,
,132,-9999,
,133,-9999,
,134,-9999,
,135,-9999,
,136,-9999,
,137,-9999,
,138,-9999,
,139,-9999,
,140,-9999,
,144,-9999,
,145,-9999,
,146,-9999,
,147,-9999,
,148,-9999,
,149,-9999,
,150,-9999,
,151,-9999,
,153,-9999,
,154,-9999,
,155,-9999,
,156,-9999,
,157,-9999,
,158,-9999,
,159,-9999,
,160,-9999,
,161,-9999,
,162,-9999,
,163,-9999,
,164,-9999,
,165,-9999,
,166,-9999,
,167,-9999,
,168,-9999,
,169,-9999,
,170,-9999,
,171,-9999,
,172,-9999,
,173,-9999,
,174,-9999,
,175,-9999,
,177,-9999,
,178,-9999,
,179,-9999,
,180,-9999,
,181,-9999,
,182,-9999,
,183,-9999,
,184,-9999,
,185,-9999,
,186,-9999,
,187,-9999,
,188,-9999,
,189,-9999,
,191,-9999,
,192,-9999,
,193,-9999,
,194,-9999,
,196,-9999,
,197,-9999,
,198,-9999,
,199,-9999,
,200,-9999,
,201,-9999,
,202,-9999,
,203,-9999,
,251,-9999,
,252,-9999,
,253,-9999,
,255,-9999,
