field_id,crop,time,et_actual,et_forecast
CA_134482,69,2023-09-01,120.608,133.067
CA_134482,69,2023-08-01,179.23,181.263
CA_134482,69,2023-07-01,232.954,205.588
CA_134482,69,2023-06-01,165.71,165.71
CA_134482,69,2023-05-01,147.286,147.286
CA_134482,69,2023-04-01,105.042,105.042
CA_134482,69,2023-03-01,53.912,53.912
CA_134482,69,2023-02-01,42.477,42.477
CA_134482,69,2023-01-01,40.974,40.974
CA_134803,69,2023-12-01,27.357,19.561
CA_134803,69,2023-11-01,39.98,36.829
CA_134803,69,2023-10-01,79.12,94.043
CA_134803,69,2023-09-01,116.78,128.035
CA_134803,69,2023-08-01,174.938,176.547
CA_134803,69,2023-07-01,225.495,199.716
CA_134803,69,2023-06-01,163.736,163.736
CA_134803,69,2023-05-01,146.187,146.187
CA_134803,69,2023-04-01,105.566,105.566
CA_134803,69,2023-03-01,53.031,53.031
CA_134803,69,2023-02-01,41.951,41.951
CA_134803,69,2023-01-01,41.334,41.334
CA_135342,69,2023-12-01,30.228,19.764
CA_135342,69,2023-11-01,41.788,36.52
CA_135342,69,2023-10-01,82.368,98.037
CA_135342,69,2023-09-01,107.606,120.748
CA_135342,69,2023-08-01,167.649,162.163
CA_135342,69,2023-07-01,205.497,175.906
CA_135342,69,2023-06-01,153.623,153.623
CA_135342,69,2023-05-01,139.195,139.195
CA_135342,69,2023-04-01,101.011,101.011
CA_135342,69,2023-03-01,50.202,50.202
CA_135342,69,2023-02-01,33.384,33.384
CA_135342,69,2023-01-01,33.615,33.615
CA_176041,69,2023-12-01,30.729,20.486
CA_176041,69,2023-11-01,47.598,42.408
CA_176041,69,2023-10-01,87.622,108.684
CA_176041,69,2023-09-01,125.449,141.388
CA_176041,69,2023-08-01,193.552,197.314
CA_176041,69,2023-07-01,253.362,220.9
CA_176041,69,2023-06-01,178.425,178.425
CA_176041,69,2023-05-01,155.325,155.325
CA_176041,69,2023-04-01,114.765,114.765
CA_176041,69,2023-03-01,60.159,60.159
CA_176041,69,2023-02-01,46.404,46.404
CA_176041,69,2023-01-01,44.806,44.806
CA_176246,69,2023-12-01,27.357,19.561
CA_176246,69,2023-11-01,39.98,36.829
CA_176246,69,2023-10-01,79.12,94.043
CA_176246,69,2023-09-01,116.78,128.035
CA_176246,69,2023-08-01,174.938,176.547
CA_176246,69,2023-07-01,225.495,199.716
CA_176246,69,2023-06-01,163.736,163.736
CA_176246,69,2023-05-01,146.187,146.187
CA_176246,69,2023-04-01,105.566,105.566
CA_176246,69,2023-03-01,53.031,53.031
CA_176246,69,2023-02-01,41.951,41.951
CA_176246,69,2023-01-01,41.334,41.334
CA_176261,69,2023-12-01,28.86,19.684
CA_176261,69,2023-11-01,41.631,37.891
CA_176261,69,2023-10-01,81.289,98.132
CA_176261,69,2023-09-01,119.432,132.213
CA_176261,69,2023-08-01,178.929,180.885
CA_176261,69,2023-07-01,230.877,203.692
CA_176261,69,2023-06-01,166.603,166.603
CA_176261,69,2023-05-01,146.936,146.936
CA_176261,69,2023-04-01,105.678,105.678
CA_176261,69,2023-03-01,55.492,55.492
CA_176261,69,2023-02-01,42.908,42.908
CA_176261,69,2023-01-01,41.258,41.258
CA_192944,176,2023-12-01,27.28,15.004
CA_192944,176,2023-11-01,35.022,26.813
CA_192944,176,2023-10-01,76.239,84.054
CA_192944,176,2023-09-01,104.485,129.931
CA_192944,176,2023-08-01,160.103,173.824
CA_192944,176,2023-07-01,205.79,200.904
CA_192944,176,2023-06-01,147.044,147.044
