forecasting_date,level_1,field_id,crop,mae,rmse,corr,bias,skill_score,c_mae,c_bias,variable
2024-01-01,99,CA_42143,69,0.07,0.19,-0.52,-0.02,-0.75,0.24764814814814815,,ETo
2024-01-01,100,CA_298397,75,0.06,0.1,0.32,0.01,-0.48,0.07933333333333335,,ET
2024-01-01,101,CA_299395,75,0.09,0.22,-0.76,-0.07,0.11,0.41618518518518516,,ET
2024-01-01,102,CA_299467,75,0.09,0.23,-0.82,-0.05,-0.43,0.3200740740740741,,ET
2024-01-01,103,CA_300271,75,0.03,0.06,0.74,0.03,0.72,0.15007407407407405,,ET
2024-01-01,104,CA_300581,75,0.04,0.08,0.18,0.02,-0.03,0.13498148148148148,,ET
2024-01-01,105,CA_300893,75,0.07,0.18,-0.2,-0.06,-1.0,0.14798148148148146,,ET
2024-01-01,106,CA_301734,75,0.03,0.08,0.22,0.01,0.28,0.17074074074074075,,ET
2024-01-01,107,CA_301986,75,0.07,0.13,-0.4,-0.05,-0.29,0.15451851851851853,,ET
2024-01-01,108,CA_302388,75,0.21,0.35,-0.03,-0.2,-0.85,0.2388888888888889,,ET
2024-01-01,109,CA_302578,75,0.05,0.1,0.96,0.03,0.71,0.2932037037037037,,ET
2024-01-01,110,CA_302669,72,0.1,0.23,-0.38,0.01,-0.4,0.2132962962962963,,ET
2024-01-01,111,CA_303433,72,0.05,0.09,0.85,0.04,0.64,0.1806481481481481,,ET
2024-01-01,112,CA_303972,47,0.05,0.11,0.44,0.04,0.29,0.17272222222222222,,ET
2024-01-01,113,CA_304258,72,0.11,0.28,-0.38,-0.11,-1.0,0.22901851851851854,,ET
2024-01-01,114,CA_304688,72,0.04,0.11,-0.61,-0.0,-1.0,0.085,,ET
2024-01-01,115,CA_305684,204,0.08,0.16,0.8,-0.06,-0.42,0.2222037037037036,,ET
2024-01-01,116,CA_306027,204,0.08,0.16,-0.73,-0.07,-1.0,0.14503703703703705,,ET
2024-01-01,117,CA_306521,204,0.14,0.29,-0.18,-0.14,-1.0,0.26057407407407407,,ET
2024-01-01,118,CA_307370,204,0.06,0.16,-0.66,0.05,-1.0,0.2067037037037036,,ET
2024-01-01,119,CA_307376,204,0.1,0.17,-0.34,0.08,-1.0,0.11011111111111112,,ET
2024-01-01,120,CA_307472,204,0.05,0.11,0.26,0.05,0.46,0.2541851851851852,,ET
2024-01-01,121,CA_307774,204,0.08,0.14,0.18,0.07,-1.0,0.11557407407407405,,ET
2024-01-01,122,CA_32080,75,0.07,0.16,0.24,-0.02,-0.04,0.17922222222222225,,ET
2024-01-01,123,CA_32260,61,0.06,0.12,-0.14,-0.05,-0.35,0.13357407407407407,,ET
2024-01-01,124,CA_32418,47,0.09,0.2,0.48,-0.05,0.15,0.31007407407407406,,ET
2024-01-01,125,CA_32637,47,0.05,0.15,0.34,0.01,0.04,0.2277407407407408,,ET
2024-01-01,126,CA_32667,61,0.07,0.18,-0.63,-0.04,-0.48,0.2553518518518519,,ET
2024-01-01,127,CA_35772,36,0.1,0.23,-0.67,-0.04,-0.39,0.31409259259259265,,ET
2024-01-01,128,CA_36095,61,0.08,0.19,-0.61,-0.05,-0.92,0.1870925925925925,,ET
2024-01-01,129,CA_36121,47,0.08,0.19,-0.82,-0.03,-0.77,0.26211111111111113,,ET
2024-01-01,130,CA_36281,61,0.07,0.16,0.55,-0.04,-0.29,0.22718518518518516,,ET
2024-01-01,131,CA_36850,61,0.1,0.21,0.62,-0.06,-0.27,0.2910925925925926,,ET
2024-01-01,132,CA_36898,37,0.1,0.21,-0.76,-0.06,-1.0,0.24888888888888885,,ET
2024-01-01,133,CA_36982,241,0.13,0.28,-0.68,-0.1,-0.8,0.34307407407407403,,ET
2024-01-01,134,CA_37400,61,0.07,0.14,-0.54,-0.04,0.24,0.2419814814814815,,ET
2024-01-01,135,CA_37674,47,0.09,0.17,-0.68,-0.02,-0.37,0.1862222222222222,,ET
2024-01-01,136,CA_37683,61,0.14,0.24,-0.56,-0.11,-0.91,0.24090740740740743,,ET
2024-01-01,137,CA_37890,241,0.06,0.17,-0.74,-0.01,-0.42,0.23151851851851854,,ET
2024-01-01,138,CA_38650,47,0.12,0.18,0.2,-0.0,-0.02,0.1676666666666667,,ET
2024-01-01,139,CA_38734,204,0.15,0.29,-0.8,-0.05,-0.35,0.35924074074074075,,ET
2024-01-01,140,CA_38912,69,0.08,0.17,-0.43,-0.05,-0.16,0.25887037037037036,,ET
2024-01-01,141,CA_39031,69,0.22,0.34,-0.55,-0.2,-0.69,0.3270555555555556,,ET
2024-01-01,142,CA_39032,69,0.14,0.28,-0.71,-0.06,0.07,0.43224074074074076,,ET
2024-01-01,143,CA_39770,69,0.08,0.19,0.07,-0.03,-0.28,0.284,,ET
2024-01-01,144,CA_40009,69,0.11,0.24,-0.64,-0.08,-0.22,0.37303703703703706,,ET
2024-01-01,145,CA_41244,69,0.18,0.38,0.27,-0.14,-0.21,0.5562962962962962,,ET
2024-01-01,146,CA_41458,69,0.07,0.17,0.14,-0.01,-0.18,0.2288888888888889,,ET
2024-01-01,147,CA_41682,69,0.08,0.14,0.23,0.05,0.35,0.1715925925925926,,ET
2024-01-01,148,CA_42021,69,0.07,0.17,-0.48,-0.03,0.02,0.2807037037037037,,ET
2024-01-01,149,CA_42143,69,0.08,0.17,-0.74,-0.03,-0.72,0.18879629629629624,,ET
2024-01-08,0,CA_298397,75,0.07,0.05,1.0,0.07,0.48,0.03468518518518519,,ETof
2024-01-08,1,CA_299395,75,0.05,0.05,-1.0,-0.05,0.98,0.29301851851851857,,ETof
2024-01-08,2,CA_299467,75,0.08,0.07,0.66,0.08,0.13,0.07012962962962965,,ETof
2024-01-08,3,CA_300271,75,0.15,0.11,-0.59,-0.15,0.34,0.07888888888888886,,ETof
2024-01-08,4,CA_300581,75,0.05,0.05,0.96,0.05,0.56,0.04616666666666667,,ETof
2024-01-08,5,CA_300893,75,0.09,0.09,-0.95,-0.09,-0.86,0.06340740740740743,,ETof
2024-01-08,6,CA_301734,75,0.1,0.1,0.92,-0.08,0.34,0.10353703703703704,,ETof
2024-01-08,7,CA_301986,75,0.1,0.08,-0.85,-0.09,0.5,0.08700000000000002,,ETof
2024-01-08,8,CA_302388,75,1.26,0.76,0.73,1.26,-1.0,0.23516666666666666,,ETof
2024-01-08,9,CA_302578,75,0.18,0.17,0.69,-0.18,-1.0,0.04422222222222216,,ETof
2024-01-08,10,CA_302669,72,0.25,0.21,-0.57,0.25,0.26,0.16396296296296298,,ETof
2024-01-08,11,CA_303433,72,0.43,0.32,-0.99,-0.43,-1.0,0.040944444444444415,,ETof
2024-01-08,12,CA_303972,47,0.02,0.02,0.98,0.02,0.98,0.1016666666666667,,ETof
2024-01-08,13,CA_304258,72,0.18,0.17,-0.73,0.18,-1.0,0.09807407407407408,,ETof
2024-01-08,14,CA_304688,72,0.12,0.12,-0.94,-0.12,-1.0,0.049037037037037025,,ETof
2024-01-08,15,CA_305684,204,0.14,0.13,-0.98,-0.14,-0.04,0.10481481481481485,,ETof
2024-01-08,16,CA_306027,204,0.13,0.11,1.0,0.13,0.08,0.09599999999999999,,ETof
2024-01-08,17,CA_306521,204,0.1,0.1,-0.92,-0.1,0.79,0.1849074074074074,,ETof
2024-01-08,18,CA_307370,204,0.12,0.14,0.97,-0.1,-0.04,0.10361111111111114,,ETof
2024-01-08,19,CA_307376,204,0.2,0.16,-0.95,-0.02,0.07,0.0977037037037037,,ETof
2024-01-08,20,CA_307472,204,0.21,0.19,0.96,-0.13,-0.12,0.1119074074074074,,ETof
2024-01-08,21,CA_307774,204,0.1,0.08,-0.53,-0.1,0.43,0.08268518518518524,,ETof
2024-01-08,22,CA_32080,75,0.06,0.04,0.94,0.06,0.94,0.10918518518518516,,ETof
2024-01-08,23,CA_32260,61,0.14,0.1,1.0,0.14,0.83,0.178037037037037,,ETof
2024-01-08,24,CA_32418,47,0.19,0.15,-1.0,-0.19,-1.0,0.06955555555555554,,ETof
2024-01-08,25,CA_32637,47,0.02,0.02,0.99,0.02,0.98,0.1377222222222222,,ETof
2024-01-08,26,CA_32667,61,0.04,0.04,-1.0,-0.04,0.67,0.06575925925925925,,ETof
2024-01-08,27,CA_35772,36,0.05,0.04,-1.0,0.05,0.72,0.06649999999999993,,ETof
2024-01-08,28,CA_36095,61,0.04,0.04,1.0,-0.04,0.95,0.14846296296296294,,ETof
2024-01-08,29,CA_36121,47,0.07,0.07,-1.0,-0.07,-0.06,0.0663703703703704,,ETof
2024-01-08,30,CA_36281,61,0.01,0.01,-1.0,-0.01,0.87,0.016185185185185174,,ETof
2024-01-08,31,CA_36850,61,0.07,0.06,,0.07,0.09,0.04870370370370366,,ETof
2024-01-08,32,CA_36898,37,0.05,0.05,0.99,0.05,0.06,0.03977777777777778,,ETof
2024-01-08,33,CA_36982,241,0.06,0.05,0.99,0.06,0.89,0.13155555555555556,,ETof
2024-01-08,34,CA_37400,61,0.07,0.06,-0.94,-0.07,0.78,0.09205555555555554,,ETof
2024-01-08,35,CA_37674,47,0.02,0.02,0.98,-0.0,0.99,0.10974074074074074,,ETof
2024-01-08,36,CA_37683,61,0.02,0.02,1.0,0.02,0.63,0.019518518518518536,,ETof
2024-01-08,37,CA_37890,241,0.01,0.01,0.99,-0.0,0.71,0.009888888888888928,,ETof
2024-01-08,38,CA_38650,47,0.08,0.06,1.0,-0.08,0.38,0.05166666666666667,,ETof
2024-01-08,39,CA_38734,204,0.02,0.02,-0.54,-0.02,0.98,0.10753703703703703,,ETof
2024-01-08,40,CA_38912,69,0.03,0.03,,-0.03,0.88,0.06948148148148152,,ETof
2024-01-08,41,CA_39031,69,0.41,0.32,-1.0,-0.41,0.54,0.34768518518518515,,ETof
2024-01-08,42,CA_39032,69,0.59,0.48,-0.99,-0.59,0.01,0.39296296296296296,,ETof
2024-01-08,43,CA_39770,69,0.14,0.12,0.91,-0.14,-1.0,0.016425925925925955,,ETof
2024-01-08,44,CA_40009,69,0.08,0.07,0.97,-0.08,0.85,0.16648148148148148,,ETof
2024-01-08,45,CA_41244,69,0.24,0.21,0.99,-0.24,-0.5,0.15437037037037035,,ETof
2024-01-08,46,CA_41458,69,0.0,0.0,1.0,0.0,1.0,0.09374074074074078,,ETof
2024-01-08,47,CA_41682,69,0.06,0.05,-1.0,-0.05,0.96,0.17898148148148144,,ETof
2024-01-08,48,CA_42021,69,0.03,0.03,-1.0,-0.03,0.91,0.0752592592592592,,ETof
2024-01-08,49,CA_42143,69,0.01,0.01,1.0,-0.01,0.35,0.012499999999999956,,ETof
2024-01-08,50,CA_298397,75,0.05,0.14,0.69,-0.03,0.21,0.3041296296296295,,ETo
2024-01-08,51,CA_299395,75,0.05,0.15,0.27,-0.05,-0.22,0.27572222222222226,,ETo
2024-01-08,52,CA_299467,75,0.06,0.16,0.04,-0.05,-0.22,0.2778148148148148,,ETo
2024-01-08,53,CA_300271,75,0.03,0.09,0.26,-0.02,0.19,0.18394444444444438,,ETo
2024-01-08,54,CA_300581,75,0.04,0.09,-0.21,-0.01,0.13,0.19716666666666663,,ETo
2024-01-08,55,CA_300893,75,0.04,0.09,-0.43,0.0,-0.06,0.16527777777777777,,ETo
2024-01-08,56,CA_301734,75,0.04,0.09,-0.21,-0.01,0.13,0.19716666666666663,,ETo
2024-01-08,57,CA_301986,75,0.04,0.09,-0.3,-0.0,-0.05,0.17383333333333337,,ETo
2024-01-08,58,CA_302388,75,0.03,0.08,-0.19,-0.0,0.08,0.1594444444444444,,ETo
2024-01-08,59,CA_302578,75,0.03,0.09,-0.29,0.02,-0.52,0.13681481481481478,,ETo
2024-01-08,60,CA_302669,72,0.05,0.14,0.5,-0.05,-0.14,0.27609259259259256,,ETo
2024-01-08,61,CA_303433,72,0.03,0.1,-0.35,-0.0,0.06,0.16381481481481483,,ETo
2024-01-08,62,CA_303972,47,0.04,0.1,-0.33,-0.02,-0.11,0.20283333333333334,,ETo
2024-01-08,63,CA_304258,72,0.03,0.09,-0.36,0.01,-0.29,0.14579629629629628,,ETo
2024-01-08,64,CA_304688,72,0.03,0.08,-0.39,0.01,-1.0,0.10498148148148145,,ETo
2024-01-08,65,CA_305684,204,0.05,0.13,-0.4,-0.01,0.23,0.27179629629629637,,ETo
2024-01-08,66,CA_306027,204,0.04,0.1,-0.46,0.0,0.05,0.1849814814814815,,ETo
2024-01-08,67,CA_306521,204,0.05,0.13,-0.51,-0.01,0.15,0.24137037037037037,,ETo
2024-01-08,68,CA_307370,204,0.04,0.12,0.41,-0.04,-0.05,0.23870370370370364,,ETo
2024-01-08,69,CA_307376,204,0.04,0.12,0.41,-0.04,-0.05,0.23870370370370364,,ETo
2024-01-08,70,CA_307472,204,0.04,0.12,0.44,-0.04,-0.02,0.22835185185185183,,ETo
2024-01-08,71,CA_307774,204,0.04,0.11,-0.43,-0.0,0.17,0.21612962962962964,,ETo
2024-01-08,72,CA_32080,75,0.04,0.11,0.82,0.02,0.29,0.2821851851851852,,ETo
2024-01-08,73,CA_32260,61,0.03,0.08,0.89,0.01,0.57,0.2634074074074074,,ETo
2024-01-08,74,CA_32418,47,0.04,0.12,0.8,-0.04,0.23,0.2512407407407407,,ETo
2024-01-08,75,CA_32637,47,0.04,0.1,0.88,0.0,0.45,0.2933148148148148,,ETo
2024-01-08,76,CA_32667,61,0.05,0.12,0.35,-0.04,-0.14,0.23235185185185178,,ETo
2024-01-08,77,CA_35772,36,0.04,0.1,0.89,0.02,0.35,0.2600740740740741,,ETo
2024-01-08,78,CA_36095,61,0.06,0.15,0.29,-0.05,-0.42,0.25253703703703706,,ETo
2024-01-08,79,CA_36121,47,0.05,0.14,0.25,-0.05,-0.36,0.24596296296296294,,ETo
2024-01-08,80,CA_36281,61,0.04,0.09,0.85,0.01,0.46,0.2514814814814815,,ETo
2024-01-08,81,CA_36850,61,0.04,0.09,0.91,0.01,0.38,0.25433333333333336,,ETo
2024-01-08,82,CA_36898,37,0.05,0.14,0.7,-0.05,-0.47,0.23535185185185184,,ETo
2024-01-08,83,CA_36982,241,0.04,0.09,0.91,0.01,0.38,0.25433333333333336,,ETo
2024-01-08,84,CA_37400,61,0.04,0.09,0.9,0.01,0.38,0.2583518518518519,,ETo
