forecasting_date,match_window,match_variable,level_3,field_id,crop,mae,rmse,corr,bias,skill_score,c_mae,c_bias,variable
2024-05-06,180,ndvi,80,CA_252621,47,0.39,0.86,0.95,-0.39,-1.0,0.2894259259259259,,ETo
2024-05-06,180,ndvi,81,CA_253072,47,0.24,0.53,0.99,-0.24,-1.0,0.2977777777777777,,ETo
2024-05-06,180,ndvi,82,CA_253554,47,0.37,0.83,0.94,-0.37,-1.0,0.2999814814814816,,ETo
2024-05-06,180,ndvi,83,CA_253625,47,0.36,0.86,-0.91,0.36,-1.0,0.32466666666666644,,ETo
2024-05-06,180,ndvi,84,CA_253715,47,0.41,0.88,0.97,-0.41,-1.0,0.3411296296296298,,ETo
2024-05-06,180,ndvi,85,CA_253873,47,0.42,0.91,0.98,-0.42,-1.0,0.31216666666666687,,ETo
2024-05-06,180,ndvi,86,CA_254360,47,0.26,0.64,-0.06,0.26,-1.0,0.32781481481481495,,ETo
2024-05-06,180,ndvi,87,CA_254518,47,0.29,0.64,0.96,-0.29,-1.0,0.278111111111111,,ETo
2024-05-06,180,ndvi,88,CA_254559,47,0.39,0.93,-0.93,0.39,-1.0,0.3135185185185187,,ETo
2024-05-06,180,ndvi,89,CA_254644,47,0.45,1.0,0.99,-0.45,-1.0,0.3088888888888886,,ETo
