forecasting_date,level_1,field_id,crop,mae,rmse,corr,bias,skill_score,variable
2024-09-18,178,CA_247476,47,0.36,0.28,,0.36,-1.0,ETof
2024-09-18,179,CA_247491,47,0.22,0.29,-0.0,-0.14,-1.0,ETof
2024-09-18,180,CA_247511,69,0.44,0.37,,-0.44,-0.65,ETof
2024-09-18,181,CA_247535,47,0.16,0.17,,-0.16,0.77,ETof
2024-09-18,182,CA_247537,47,0.17,0.08,,-0.17,0.92,ETof
2024-09-18,183,CA_247542,69,0.1,0.07,,-0.1,0.21,ETof
2024-09-18,184,CA_247548,61,0.56,0.23,,-0.56,-0.72,ETof
2024-09-18,185,CA_247552,47,0.28,0.28,,-0.28,0.32,ETof
2024-09-18,186,CA_247559,69,0.22,0.16,,-0.22,0.68,ETof
2024-09-18,187,CA_247605,69,0.12,0.11,0.0,0.1,-1.0,ETof
2024-09-18,188,CA_247609,69,0.65,0.46,,-0.65,-1.0,ETof
2024-09-18,189,CA_247629,47,0.38,0.45,,-0.38,-0.73,ETof
2024-09-18,190,CA_247642,69,0.08,0.07,,-0.08,0.96,ETof
2024-09-18,191,CA_247653,47,0.26,0.28,,-0.26,0.44,ETof
2024-09-18,192,CA_247676,69,0.45,0.31,,-0.45,0.3,ETof
2024-09-18,193,CA_247691,47,0.17,0.24,,-0.17,0.13,ETof
2024-09-18,194,CA_247706,61,0.5,0.24,,0.5,0.39,ETof
2024-09-18,195,CA_247741,69,0.17,0.12,,0.17,0.13,ETof
2024-09-18,196,CA_247763,69,0.28,0.24,,-0.28,0.22,ETof
2024-09-18,197,CA_247766,69,0.23,0.15,-0.0,0.23,0.58,ETof
2024-09-18,198,CA_247785,69,0.18,0.16,,-0.18,-0.71,ETof
2024-09-18,199,CA_247820,69,0.38,0.28,,-0.38,-1.0,ETof
2024-09-18,200,CA_247822,69,0.26,0.21,,-0.26,0.23,ETof
2024-09-18,201,CA_247823,69,0.3,0.28,,-0.3,-0.52,ETof
2024-09-18,202,CA_247832,47,0.09,0.1,,-0.09,0.87,ETof
2024-09-18,203,CA_247872,69,1.1,0.56,,1.1,0.47,ETof
2024-09-18,204,CA_247878,47,0.48,0.3,,-0.48,-0.04,ETof
2024-09-18,205,CA_247903,47,0.26,0.23,,-0.14,0.47,ETof
2024-09-18,206,CA_247918,69,0.11,0.09,,-0.11,-1.0,ETof
2024-09-18,207,CA_247925,69,0.13,0.11,0.0,-0.13,0.91,ETof
2024-09-18,208,CA_247968,61,0.19,0.08,,-0.19,-1.0,ETof
2024-09-18,209,CA_247976,69,0.51,0.38,,-0.51,-1.0,ETof
2024-09-18,210,CA_248006,47,0.36,0.26,,-0.36,-1.0,ETof
2024-09-18,211,CA_248038,69,0.4,0.17,0.0,0.4,0.37,ETof
2024-09-18,212,CA_248070,69,0.47,0.36,,-0.47,-1.0,ETof
2024-09-18,213,CA_248083,47,0.17,0.1,,0.06,0.93,ETof
2024-09-18,214,CA_248084,47,0.09,0.1,0.0,-0.09,-1.0,ETof
2024-09-18,215,CA_248086,69,0.4,0.35,,-0.4,-0.31,ETof
2024-09-18,216,CA_248113,69,0.03,0.02,,0.01,0.97,ETof
2024-09-18,217,CA_248117,69,0.57,0.4,,-0.57,-0.13,ETof
2024-09-18,218,CA_248128,47,0.23,0.18,-0.0,0.12,0.31,ETof
2024-09-18,219,CA_248155,37,1.04,0.49,,1.0,0.62,ETof
2024-09-18,220,CA_248175,69,0.3,0.27,,-0.3,0.61,ETof
2024-09-18,221,CA_248207,69,0.19,0.15,,0.19,0.52,ETof
2024-09-18,222,CA_248208,47,0.42,0.33,,-0.42,-0.02,ETof
2024-09-18,223,CA_248217,69,0.25,0.2,,-0.25,0.56,ETof
2024-09-18,224,CA_248230,69,0.62,0.37,-0.0,-0.62,-1.0,ETof
2024-09-18,225,CA_248238,61,0.23,0.08,-0.0,0.15,-1.0,ETof
2024-09-18,226,CA_248264,69,1.02,0.61,0.0,-1.02,-0.77,ETof
2024-09-18,227,CA_248302,47,0.18,0.2,,-0.18,-0.22,ETof
2024-09-18,228,CA_248338,61,0.67,0.66,,-0.67,-0.06,ETof
2024-09-18,229,CA_248364,61,0.15,0.05,,-0.15,0.9,ETof
2024-09-18,230,CA_248380,47,0.11,0.1,0.0,-0.06,0.11,ETof
2024-09-18,231,CA_248388,61,0.22,0.17,,-0.22,0.13,ETof
2024-09-18,232,CA_248409,69,0.56,0.48,,-0.56,-1.0,ETof
2024-09-18,233,CA_248438,69,0.2,0.19,,-0.2,0.74,ETof
2024-09-18,234,CA_248446,47,0.1,0.11,0.0,-0.08,0.86,ETof
2024-09-18,235,CA_248451,47,0.95,0.43,,-0.95,-1.0,ETof
2024-09-18,236,CA_248468,47,0.74,0.32,0.0,-0.74,-1.0,ETof
2024-09-18,237,CA_248480,69,0.14,0.08,0.0,0.14,0.82,ETof
2024-09-18,238,CA_248482,47,0.01,0.01,-0.0,0.0,0.91,ETof
2024-09-18,239,CA_248484,47,0.2,0.23,,-0.2,0.52,ETof
2024-09-18,240,CA_248499,69,0.45,0.31,0.0,-0.45,-0.53,ETof
2024-09-18,241,CA_248505,47,0.47,0.43,,-0.47,-1.0,ETof
2024-09-18,242,CA_248523,61,0.78,0.16,,0.43,0.4,ETof
2024-09-18,243,CA_248612,69,0.32,0.29,0.0,-0.32,0.42,ETof
2024-09-18,244,CA_248625,69,2.41,0.99,,2.41,-0.13,ETof
2024-09-18,245,CA_248642,47,0.08,0.05,,-0.08,1.0,ETof
2024-09-18,246,CA_248652,61,2.61,0.5,,2.61,-1.0,ETof
2024-09-18,247,CA_248663,47,0.24,0.16,,-0.01,0.91,ETof
2024-09-18,248,CA_248688,61,0.21,0.14,-0.0,-0.21,-1.0,ETof
2024-09-18,249,CA_248689,47,0.16,0.16,-0.0,0.13,0.68,ETof
2024-09-18,250,CA_248722,69,0.25,0.14,,0.06,0.35,ETof
2024-09-18,251,CA_248737,47,1.49,0.8,,1.36,-0.12,ETof
2024-09-18,252,CA_248749,61,0.46,0.32,,-0.46,-1.0,ETof
2024-09-18,253,CA_248760,69,0.71,0.53,,-0.71,-1.0,ETof
2024-09-18,254,CA_248786,61,0.36,0.11,-0.0,0.22,0.25,ETof
2024-09-18,255,CA_248793,61,0.38,0.24,,-0.38,0.5,ETof
2024-09-18,256,CA_248799,47,0.34,0.27,,0.34,-1.0,ETof
2024-09-18,257,CA_248852,69,0.24,0.18,,-0.24,0.72,ETof
2024-09-18,258,CA_248858,47,0.61,0.7,,-0.61,-1.0,ETof
2024-09-18,259,CA_248877,37,0.43,0.28,,-0.43,-1.0,ETof
2024-09-18,260,CA_248880,47,0.13,0.15,,-0.13,0.82,ETof
2024-09-18,261,CA_248888,69,0.4,0.4,,-0.4,0.13,ETof
2024-09-18,262,CA_248889,47,0.52,0.31,,-0.52,-1.0,ETof
2024-09-18,263,CA_248926,69,0.09,0.09,,-0.09,0.83,ETof
2024-09-18,264,CA_248949,61,0.7,0.39,,-0.7,-1.0,ETof
2024-09-18,265,CA_248967,47,0.17,0.16,,-0.17,0.77,ETof
2024-09-18,266,CA_249008,47,0.15,0.11,,-0.15,-1.0,ETof
2024-09-18,267,CA_249053,69,0.41,0.24,,0.27,-1.0,ETof
2024-09-18,268,CA_249083,47,0.48,0.45,,-0.48,-1.0,ETof
2024-09-18,269,CA_249088,69,0.14,0.11,,-0.14,0.86,ETof
2024-09-18,270,CA_249091,69,0.22,0.2,0.0,-0.22,-0.35,ETof
2024-09-18,271,CA_249101,69,0.27,0.15,,0.27,0.55,ETof
2024-09-18,272,CA_249122,47,0.57,0.22,,-0.57,0.63,ETof
2024-09-18,273,CA_249138,61,0.21,0.12,,-0.21,0.79,ETof
2024-09-18,274,CA_249145,69,0.14,0.13,0.0,-0.14,0.33,ETof
2024-09-18,275,CA_249166,47,0.51,0.22,0.0,0.26,-1.0,ETof
2024-09-18,276,CA_249176,69,0.25,0.25,,-0.25,-0.55,ETof
2024-09-18,277,CA_249203,47,1.51,0.84,,1.22,-1.0,ETof
2024-09-18,278,CA_249248,47,0.4,0.38,,-0.4,-0.05,ETof
2024-09-18,279,CA_249252,69,0.75,0.4,,0.75,-1.0,ETof
2024-09-18,280,CA_249254,47,0.37,0.44,,-0.37,0.23,ETof
2024-09-18,281,CA_249284,69,0.19,0.17,,-0.19,-0.26,ETof
2024-09-18,282,CA_249291,47,0.59,0.49,,-0.59,-1.0,ETof
2024-09-18,283,CA_249296,47,0.37,0.29,,0.37,0.25,ETof
2024-09-18,284,CA_249344,69,0.02,0.02,,-0.02,0.99,ETof
2024-09-18,285,CA_249348,69,0.16,0.1,,-0.16,-1.0,ETof
2024-09-18,286,CA_249396,69,0.51,0.36,,-0.51,-0.48,ETof
2024-09-18,287,CA_249407,47,0.89,0.68,,0.87,-1.0,ETof
2024-09-18,288,CA_249414,47,0.34,0.39,,-0.33,0.26,ETof
2024-09-18,289,CA_249456,61,0.68,0.33,-0.0,-0.68,-1.0,ETof
2024-09-18,290,CA_249462,69,0.09,0.08,,-0.09,0.82,ETof
2024-09-18,291,CA_249468,69,0.71,0.48,,-0.71,-1.0,ETof
2024-09-18,292,CA_249479,69,0.04,0.03,-0.0,-0.04,0.97,ETof
2024-09-18,293,CA_249507,61,0.63,0.32,,-0.63,-1.0,ETof
2024-09-18,294,CA_249524,61,0.12,0.07,,-0.12,0.95,ETof
2024-09-18,295,CA_249531,47,0.49,0.48,,-0.49,-1.0,ETof
2024-09-18,296,CA_249545,47,0.16,0.18,,-0.16,0.76,ETof
2024-09-18,297,CA_249576,47,0.2,0.2,,-0.05,-1.0,ETof
2024-09-18,298,CA_249601,69,0.26,0.19,,-0.26,-1.0,ETof
2024-09-18,299,CA_249627,69,0.03,0.04,,-0.03,0.96,ETof
2024-09-18,300,CA_249685,69,0.2,0.16,,-0.2,0.47,ETof
2024-09-18,301,CA_249694,69,0.15,0.11,,0.15,0.85,ETof
2024-09-18,302,CA_249725,69,0.09,0.07,,-0.09,0.42,ETof
2024-09-18,303,CA_249733,69,0.33,0.28,-0.0,-0.33,-0.97,ETof
2024-09-18,304,CA_249774,47,0.04,0.04,,-0.04,0.99,ETof
2024-09-18,305,CA_249783,69,0.02,0.02,,0.01,0.99,ETof
2024-09-18,306,CA_249784,61,0.04,0.03,,-0.04,0.85,ETof
2024-09-18,307,CA_249796,47,0.62,0.35,,0.62,0.6,ETof
2024-09-18,308,CA_249846,47,0.53,0.33,0.0,0.25,-0.42,ETof
2024-09-18,309,CA_249856,69,0.23,0.21,,-0.23,0.49,ETof
2024-09-18,310,CA_249858,47,1.03,0.55,,1.03,0.09,ETof
2024-09-18,311,CA_249863,47,0.27,0.13,,-0.27,0.92,ETof
2024-09-18,312,CA_249864,69,0.31,0.24,,-0.31,0.4,ETof
2024-09-18,313,CA_249875,47,0.56,0.51,,-0.56,0.16,ETof
2024-09-18,314,CA_249887,61,0.69,0.43,,-0.69,-0.59,ETof
2024-09-18,315,CA_249898,47,0.3,0.29,,-0.28,-1.0,ETof
2024-09-18,316,CA_249944,69,0.12,0.08,,0.12,0.62,ETof
2024-09-18,317,CA_249946,61,0.5,0.49,,-0.5,0.02,ETof
2024-09-18,318,CA_249988,47,0.13,0.14,,-0.13,0.7,ETof
2024-09-18,319,CA_249989,47,0.25,0.24,,0.25,-0.53,ETof
2024-09-18,320,CA_249997,47,0.24,0.18,,-0.24,0.53,ETof
2024-09-18,321,CA_249999,69,0.34,0.26,,-0.34,-1.0,ETof
2024-09-18,322,CA_250003,69,0.29,0.23,,-0.29,-1.0,ETof
2024-09-18,323,CA_250044,69,0.13,0.1,,-0.13,-1.0,ETof
2024-09-18,324,CA_250130,69,0.45,0.32,,-0.45,-0.04,ETof
2024-09-18,325,CA_250143,47,0.11,0.12,,-0.11,0.33,ETof
2024-09-18,326,CA_250155,47,0.15,0.06,,-0.15,-1.0,ETof
2024-09-18,327,CA_250182,47,0.22,0.24,,-0.22,-1.0,ETof
2024-09-18,328,CA_250186,47,0.21,0.2,,0.11,-0.16,ETof
2024-09-18,329,CA_250200,61,0.53,0.34,,-0.53,-0.8,ETof
2024-09-18,330,CA_250208,47,0.21,0.21,,-0.21,-0.65,ETof
2024-09-18,331,CA_250211,61,0.04,0.02,,-0.04,1.0,ETof
2024-09-18,332,CA_250212,69,0.3,0.2,,-0.3,-1.0,ETof
2024-09-18,333,CA_250221,47,0.24,0.25,0.0,-0.24,-1.0,ETof
2024-09-18,334,CA_250290,69,0.02,0.01,0.0,-0.01,0.99,ETof
2024-09-18,335,CA_250295,69,0.1,0.11,,-0.1,0.92,ETof
2024-09-18,336,CA_250318,47,0.19,0.2,,-0.19,0.84,ETof
2024-09-18,337,CA_250324,47,0.28,0.29,,-0.28,0.77,ETof
2024-09-18,338,CA_250328,47,0.18,0.18,,-0.18,0.76,ETof
2024-09-18,339,CA_250355,47,0.15,0.15,0.0,-0.15,0.7,ETof
2024-09-18,340,CA_250356,61,0.09,0.05,,-0.09,0.8,ETof
2024-09-18,341,CA_250364,69,0.02,0.02,,-0.02,1.0,ETof
2024-09-18,342,CA_250373,69,0.22,0.18,,-0.22,0.46,ETof
2024-09-18,343,CA_250388,47,0.19,0.12,,0.19,0.98,ETof
2024-09-18,344,CA_250406,61,0.93,0.58,,-0.93,-1.0,ETof
2024-09-18,345,CA_250435,69,0.35,0.2,,0.35,-0.13,ETof
2024-09-18,346,CA_250438,69,0.11,0.07,-0.0,0.11,0.72,ETof
2024-09-18,347,CA_250500,69,0.49,0.41,,-0.49,-1.0,ETof
2024-09-18,348,CA_250502,47,1.02,0.66,,1.02,-1.0,ETof
2024-09-18,349,CA_250522,69,0.59,0.4,,-0.59,-0.46,ETof
