forecasting_date,match_window,match_variable,level_3,field_id,crop,mae,rmse,corr,bias,skill_score,variable
2024-06-03,180,None,104,CA_300581,75,0.26,0.54,0.46,-0.26,0.75,ET
2024-06-03,180,None,105,CA_300893,75,0.19,0.43,-0.45,-0.06,0.77,ET
2024-06-03,180,None,106,CA_301734,75,0.15,0.39,0.58,-0.14,0.37,ET
2024-06-03,180,None,107,CA_301986,75,0.41,0.66,0.03,-0.41,-1.0,ET
2024-06-03,180,None,108,CA_302388,75,0.39,0.48,0.2,-0.39,0.3,ET
2024-06-03,180,None,109,CA_302578,75,0.09,0.2,0.2,-0.07,0.4,ET
2024-06-03,180,None,110,CA_302669,72,0.39,0.62,0.38,-0.39,0.52,ET
2024-06-03,180,None,111,CA_303433,72,0.12,0.21,0.25,-0.1,0.97,ET
2024-06-03,180,None,112,CA_303972,47,0.19,0.35,0.42,-0.16,0.64,ET
2024-06-03,180,None,113,CA_304258,72,0.29,0.61,0.26,-0.29,-1.0,ET
2024-06-03,180,None,114,CA_304688,72,0.12,0.32,0.47,-0.11,0.01,ET
2024-06-03,180,None,115,CA_305684,204,0.16,0.34,-0.46,-0.13,0.39,ET
2024-06-03,180,None,116,CA_306027,204,0.33,0.61,0.24,-0.33,0.42,ET
2024-06-03,180,None,117,CA_306521,204,0.33,0.63,-0.43,-0.33,0.76,ET
2024-06-03,180,None,118,CA_307370,204,0.11,0.27,0.65,-0.02,0.42,ET
2024-06-03,180,None,119,CA_307376,204,0.31,0.52,-0.43,-0.13,-0.84,ET
2024-06-03,180,None,120,CA_307472,204,0.28,0.55,0.76,-0.28,0.66,ET
2024-06-03,180,None,121,CA_307774,204,0.06,0.12,0.6,0.05,0.62,ET
2024-06-03,180,None,122,CA_32080,75,1.63,2.31,0.53,1.63,-0.5,ET
2024-06-03,180,None,123,CA_32260,61,0.34,0.6,-0.73,-0.24,-1.0,ET
2024-06-03,180,None,124,CA_32418,47,0.3,0.61,-0.04,0.3,-1.0,ET
2024-06-03,180,None,125,CA_32637,47,0.19,0.38,0.64,-0.05,0.5,ET
2024-06-03,180,None,126,CA_32667,61,0.12,0.32,0.73,-0.11,0.26,ET
2024-06-03,180,None,127,CA_35772,36,0.4,0.77,-0.84,-0.07,-1.0,ET
2024-06-03,180,None,128,CA_36095,61,0.62,1.22,0.57,-0.62,-0.67,ET
2024-06-03,180,None,129,CA_36121,47,0.45,1.1,-0.94,-0.4,0.36,ET
2024-06-03,180,None,130,CA_36281,61,0.56,1.0,0.85,-0.56,0.71,ET
2024-06-03,180,None,131,CA_36850,61,0.39,0.72,-0.83,-0.04,-1.0,ET
2024-06-03,180,None,132,CA_36898,37,0.11,0.22,0.84,0.0,0.59,ET
2024-06-03,180,None,133,CA_36982,241,0.56,1.03,0.63,-0.56,-1.0,ET
2024-06-03,180,None,134,CA_37400,61,0.67,1.15,0.9,-0.67,0.52,ET
2024-06-03,180,None,135,CA_37674,47,0.2,0.37,0.78,-0.2,-0.19,ET
2024-06-03,180,None,136,CA_37683,61,0.35,0.49,0.03,-0.35,0.85,ET
2024-06-03,180,None,137,CA_37890,241,0.32,0.71,0.76,-0.32,0.44,ET
2024-06-03,180,None,138,CA_38650,47,0.18,0.34,-0.79,0.15,0.96,ET
2024-06-03,180,None,139,CA_38734,204,0.43,0.74,-0.94,0.43,0.29,ET
2024-06-03,180,None,140,CA_38912,69,0.55,1.09,-0.81,-0.28,0.1,ET
2024-06-03,180,None,141,CA_39031,69,0.36,0.61,-0.9,0.09,0.35,ET
2024-06-03,180,None,142,CA_39032,69,0.34,0.58,0.43,-0.34,-0.12,ET
2024-06-03,180,None,143,CA_39770,69,0.13,0.26,-0.81,-0.11,0.87,ET
2024-06-03,180,None,144,CA_40009,69,0.39,0.77,0.68,-0.39,0.72,ET
2024-06-03,180,None,145,CA_41244,69,0.09,0.18,-0.3,-0.08,-0.98,ET
2024-06-03,180,None,146,CA_41458,69,0.31,0.67,0.87,0.31,-1.0,ET
2024-06-03,180,None,147,CA_41682,69,0.26,0.45,0.9,-0.26,-1.0,ET
2024-06-03,180,None,148,CA_42021,69,0.35,0.67,-0.47,-0.26,-1.0,ET
2024-06-03,180,None,149,CA_42143,69,0.36,0.67,0.06,0.36,-1.0,ET
2024-06-03,180,ndvi,0,CA_298397,75,0.03,0.02,-0.98,0.0,0.93,ETof
2024-06-03,180,ndvi,1,CA_299395,75,0.12,0.11,0.63,-0.12,0.89,ETof
2024-06-03,180,ndvi,2,CA_299467,75,0.6,0.54,0.92,0.6,-1.0,ETof
2024-06-03,180,ndvi,3,CA_300271,75,0.1,0.07,-0.95,-0.03,-0.11,ETof
2024-06-03,180,ndvi,4,CA_300581,75,0.22,0.19,0.92,-0.22,0.62,ETof
2024-06-03,180,ndvi,5,CA_300893,75,0.06,0.06,0.99,-0.06,0.93,ETof
2024-06-03,180,ndvi,6,CA_301734,75,0.11,0.11,-0.44,-0.11,0.07,ETof
2024-06-03,180,ndvi,7,CA_301986,75,0.34,0.26,-1.0,-0.34,-1.0,ETof
2024-06-03,180,ndvi,8,CA_302388,75,0.25,0.16,-1.0,0.25,-0.17,ETof
2024-06-03,180,ndvi,9,CA_302578,75,0.1,0.09,0.97,-0.1,-0.87,ETof
2024-06-03,180,ndvi,10,CA_302669,72,0.29,0.21,-0.91,-0.29,0.21,ETof
2024-06-03,180,ndvi,11,CA_303433,72,0.12,0.09,0.99,0.12,0.91,ETof
2024-06-03,180,ndvi,12,CA_303972,47,0.03,0.03,0.98,-0.03,0.97,ETof
2024-06-03,180,ndvi,13,CA_304258,72,0.01,0.01,0.99,0.01,0.89,ETof
2024-06-03,180,ndvi,14,CA_304688,72,0.05,0.05,0.99,0.05,-0.63,ETof
