field_id,crop,mae,rmse,corr,bias,skill_score
CA_45990,75,2.43,4.29,0.96,-2.02,0.88
CA_46605,75,2.24,3.77,0.98,-1.11,0.93
CA_47884,75,8.97,14.97,0.4,-8.82,-1.17
CA_48511,75,2.44,4.08,0.95,0.87,0.9
CA_48799,75,2.47,4.09,0.96,0.22,0.92
CA_49268,75,2.58,4.26,0.96,1.86,0.89
CA_49460,75,1.66,2.81,0.98,-0.83,0.93
CA_50200,75,2.36,3.74,0.97,-0.71,0.93
CA_50989,47,10.25,16.0,0.24,-10.08,-1.29
CA_51152,61,2.02,3.5,0.97,0.02,0.92
CA_51452,36,2.43,4.72,0.75,2.25,0.49
CA_52501,75,3.0,5.36,0.96,2.86,0.86
CA_5256,47,2.32,4.29,0.84,-0.97,0.69
CA_53071,241,2.54,4.56,0.96,-1.88,0.89
CA_53305,47,0.81,1.27,0.98,0.0,0.95
CA_54305,241,4.68,8.44,0.87,-1.65,0.67
CA_54616,47,4.87,8.26,0.9,4.74,0.64
CA_54688,241,7.39,12.18,0.65,0.91,0.22
CA_54790,241,3.63,6.17,0.93,-2.0,0.72
CA_55252,61,2.31,4.17,0.92,0.33,0.84
CA_55369,36,1.7,3.2,0.96,1.1,0.89
CA_57810,61,1.42,2.47,0.93,0.55,0.84
CA_5907,47,1.36,2.42,0.96,-0.45,0.91
CA_59450,211,1.6,2.78,0.96,-0.42,0.91
CA_60903,75,1.81,3.02,0.98,0.07,0.95
CA_60928,69,6.52,11.18,0.65,-6.3,-1.11
CA_62356,75,2.21,3.72,0.97,-0.95,0.92
CA_63548,69,1.77,3.01,0.93,-0.39,0.8
CA_64204,241,5.35,11.57,0.75,-2.36,0.31
CA_66272,204,2.12,3.78,0.98,0.3,0.96
CA_66675,61,1.71,2.67,0.92,1.0,0.82
CA_66850,61,2.15,3.53,0.88,1.88,0.7
CA_67187,69,1.54,2.4,0.98,0.13,0.96
CA_67740,76,4.2,6.56,0.95,-3.6,0.6
CA_68010,220,1.85,3.03,0.99,-0.49,0.97
CA_68947,241,8.62,16.21,0.56,-0.41,-0.25
CA_69128,241,7.67,14.55,0.49,-0.21,-0.2
CA_69317,241,4.33,8.19,0.8,-0.5,0.46
CA_70028,61,7.45,11.16,0.47,7.45,0.11
CA_7030,47,4.91,7.37,0.67,-1.36,0.43
CA_70844,47,3.06,6.19,0.91,-1.67,0.78
CA_71587,36,9.15,14.37,0.66,4.24,0.04
CA_71718,47,3.48,6.21,0.9,2.52,0.77
CA_71776,61,1.94,3.3,0.89,1.77,0.74
CA_72096,36,5.02,9.08,0.81,0.88,0.58
CA_72468,61,4.02,6.35,0.67,3.73,0.33
CA_72535,47,4.72,7.73,0.73,4.49,0.44
CA_72592,61,11.49,18.37,0.42,11.46,0.1
CA_74707,215,2.43,3.97,0.88,2.33,0.68
CA_74902,215,1.67,2.65,0.94,-0.09,0.89
CA_75872,47,7.25,12.62,0.72,6.19,0.41
CA_76432,176,6.89,11.95,0.75,-3.99,0.44
CA_77101,176,12.2,20.13,0.36,-6.94,-0.32
CA_77158,47,7.96,14.77,0.17,-2.81,-2.38
CA_77257,241,3.93,6.33,0.93,-2.34,0.81
CA_77693,61,1.49,2.47,0.73,-0.79,-0.51
CA_80450,47,5.03,8.57,0.9,-3.41,0.78
CA_81102,176,4.83,8.89,0.9,1.44,0.8
CA_81739,61,1.19,2.25,0.48,-0.48,-0.53
CA_81905,47,7.03,11.22,0.6,-4.47,-0.09
CA_81937,61,5.3,9.89,0.71,0.97,0.49
CA_86773,69,2.23,3.54,0.72,-1.02,0.41
CA_87308,69,2.43,3.6,0.87,1.47,0.72
CA_88706,176,1.78,2.77,0.94,-0.41,0.85
CA_89335,61,2.35,3.91,0.78,0.92,0.59
CA_89459,61,2.06,2.97,0.91,-1.19,0.79
CA_89481,176,2.74,4.71,0.84,1.78,0.67
CA_90023,47,2.22,3.25,0.82,-0.43,0.67
CA_90393,176,2.34,3.67,0.89,1.0,0.79
CA_90562,47,2.84,4.13,0.93,-1.64,0.83
CA_90738,47,4.42,6.64,0.81,1.58,0.46
CA_91730,72,1.48,2.36,0.93,-0.6,0.85
CA_92436,47,8.82,19.9,0.39,7.59,0.1
CA_92455,61,2.71,5.08,0.44,2.71,0.04
CA_92493,61,4.27,6.94,-0.23,4.25,-0.26
CA_92898,215,1.81,3.02,0.94,0.38,0.87
CA_94012,47,1.45,2.22,0.93,-0.04,0.84
CA_94118,47,8.3,13.54,0.46,7.97,0.02
CA_96321,47,1.33,2.05,0.97,-1.11,0.91
CA_97508,72,2.11,3.7,0.71,1.57,0.45
CA_97925,72,1.85,2.91,0.9,-0.18,0.8
CA_9796,47,1.38,2.29,0.91,-0.34,0.81
CA_98479,47,1.76,2.87,0.91,0.97,0.82
CA_98963,82,1.71,3.22,0.94,-0.85,0.83
CA_99201,61,2.4,4.11,0.93,-0.26,0.8
CA_99220,47,2.13,3.51,0.91,0.83,0.78
CA_99657,47,1.19,1.87,0.89,-0.07,0.8
